track_id,video_id,n_segments,title,pd_class,matched_hymn,match_score,title_says_scripture,content_theme_signal,handle,n_words,video_views
04j-ZQskFJM#01,04j-ZQskFJM,20,1. Psalm 63 – My Soul Thirsts for You,SCRIPTURE_PARAPHRASE,,0.0,True,True,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,173,285079.0
04j-ZQskFJM#02,04j-ZQskFJM,22,2. Psalm 1 – Like a Tree by the River,SCRIPTURE_PARAPHRASE,,0.0,True,False,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,172,285079.0
04j-ZQskFJM#03,04j-ZQskFJM,22,3. Psalm 37 – The Steps of the Righteous,SCRIPTURE_PARAPHRASE,,0.0,True,False,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,166,285079.0
04j-ZQskFJM#04,04j-ZQskFJM,22,4. Psalm 23 – Shepherd of My Blues,SCRIPTURE_PARAPHRASE,,0.0,True,True,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,164,285079.0
04j-ZQskFJM#05,04j-ZQskFJM,18,5. Psalm 34 – Taste and See,SCRIPTURE_PARAPHRASE,,0.0,True,False,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,163,285079.0
04j-ZQskFJM#06,04j-ZQskFJM,14,6. Psalm 121 – Keeper of My Steps,SCRIPTURE_PARAPHRASE,,0.0,True,True,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,168,285079.0
04j-ZQskFJM#07,04j-ZQskFJM,21,"7. Psalm 13 – How Long, O Lord",SCRIPTURE_PARAPHRASE,,0.0,True,False,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,164,285079.0
04j-ZQskFJM#08,04j-ZQskFJM,16,8. Psalm 139 – Known and Carried,SCRIPTURE_PARAPHRASE,,0.0,True,False,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,152,285079.0
04j-ZQskFJM#09,04j-ZQskFJM,16,"9. Psalm 28 – Hear My Cry, O Lord",SCRIPTURE_PARAPHRASE,,0.0,True,True,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,178,285079.0
04j-ZQskFJM#10,04j-ZQskFJM,22,10. Psalm 42 – My Soul Thirsts Deep,SCRIPTURE_PARAPHRASE,,0.0,True,True,channel:UCZq1Q0yt7GMsQ8i9wpYFO4Q,189,285079.0
1UItx9upywQ#01,1UItx9upywQ,19,"""Light and Salvation"" - Psalm 27",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,127,1024147.0
1UItx9upywQ#02,1UItx9upywQ,28,"""Taste and See"" - Psalm 34",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,200,1024147.0
1UItx9upywQ#03,1UItx9upywQ,22,"""What Is Man"" - Psalm 8",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,131,1024147.0
1UItx9upywQ#04,1UItx9upywQ,18,"""Teach Me Your Ways"" - Psalm 86",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,162,1024147.0
1UItx9upywQ#05,1UItx9upywQ,17,"""How Long, Lord"" - Psalm 13",SCRIPTURE_PARAPHRASE,,0.0,True,True,rivers-and-revival,118,1024147.0
1UItx9upywQ#06,1UItx9upywQ,16,"""Do Not Fret"" - Psalm 37",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,131,1024147.0
1UItx9upywQ#07,1UItx9upywQ,16,"""Why Have You Forsaken Me"" - Psalm 22",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,115,1024147.0
1UItx9upywQ#08,1UItx9upywQ,18,"""Have Mercy on Me"" - Psalm 51",SCRIPTURE_PARAPHRASE,,0.0,True,True,rivers-and-revival,118,1024147.0
1UItx9upywQ#09,1UItx9upywQ,21,"""Turned My Mourning Into Dancing"" - Psalm 30",SCRIPTURE_PARAPHRASE,,0.0,True,True,rivers-and-revival,129,1024147.0
1UItx9upywQ#10,1UItx9upywQ,29,"""My Rock, My Rescue"" - Psalm 18",SCRIPTURE_PARAPHRASE,,0.0,True,False,rivers-and-revival,159,1024147.0
1UItx9upywQ#11,1UItx9upywQ,20,"""Better Is One Day"" - Psalm 84",SCRIPTURE_PARAPHRASE,,0.0,True,True,rivers-and-revival,146,1024147.0
